Designator,Mid X,Mid Y,Rotation,Layer
BZ1,158.75,-122.4,90.0,top
C1,138.75,-102.3,90.0,top
C10,145.0,-112.35,90.0,top
C2,140.3,-102.3,90.0,top
C3,137.2,-102.3,90.0,top
C4,154.25,-103.5875,90.0,top
C5,137.6375,-106.1625,180.0,top
C6,137.6375,-107.8125,180.0,top
C7,131.55,-112.35,270.0,top
C8,134.0,-112.35,270.0,top
C9,143.25,-112.35,90.0,top
D1,155.3,-107.55,0.0,top
D2,147.1,-127.5,180.0,top
D3,132.3,-117.8,270.0,top
DRA1,170.15,-103.0,90.0,top
DRA2,114.25,-103.0,90.0,top
J1,124.32,-97.92,180.0,top
J2,161.35,-108.25,0.0,top
J3,137.85,-124.95,180.0,top
J4,161.5,-99.8,0.0,top
J5,124.35,-106.6,180.0,top
J6,152.55,-113.165,90.0,top
J7,124.35,-115.25,180.0,top
J8,124.5,-124.8,0.0,top
L1,159.8,-85.6,90.0,top
Q1,149.0,-118.2125,270.0,top
Q2,149.0,-123.8,270.0,top
R1,155.85,-103.5875,90.0,top
R10,149.7,-93.2,270.0,top
R11,145.35,-85.65,90.0,top
R12,142.95,-85.65,90.0,top
R13,140.55,-85.65,90.0,top
R14,147.75,-85.65,90.0,top
R15,150.15,-85.65,90.0,top
R16,152.55,-85.65,90.0,top
R2,144.6,-118.15,270.0,top
R3,146.3,-118.15,90.0,top
R4,155.3,-109.2,0.0,top
R5,155.85,-98.4375,90.0,top
R6,126.45,-93.45,0.0,top
R7,144.65,-123.75,270.0,top
R8,146.3,-123.75,90.0,top
R9,151.3,-93.2,270.0,top
SW1,134.9,-93.45,0.0,top
U1,146.5,-102.25,270.0,top
U2,138.5,-115.1,90.0,top
U3,143.95,-92.15,0.0,top
Y1,133.0,-102.15,90.0,top
